id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
7903,Colorful modern 2 BR apt shared with host,14169,Stacy,Agassiz,42.39031,-71.09361,Private room,118,295,1,10
8521,SunsplashedSerenity walk to Harvard  Fresh Pond,306681,Janet,West Cambridge,42.38258,-71.13646,Entire homeapt,300,50,2,258
8789,Curved Glass Studio1bd facing Park,26988,Anne,East Cambridge,42.35867,-71.06307,Entire homeapt,110,25,5,279
10813,Back Bay Aptblocks to subway Newbury St The Pru,38997,Michelle,Area 2MIT,42.35061,-71.08787,Entire homeapt,135,5,11,355
10986,North End Waterfront area  CLOSE TO MGH  SUBWAY,38997,Michelle,East Cambridge,42.36377,-71.05206,Entire homeapt,135,2,11,356
11169,Lovely Studio Room Available for long weekends,40965,Judy,North Cambridge,42.3963,-71.13135,Private room,116,160,2,331
19581,Furnished suite Windsor,74249,Marc And Patty,The Port,42.36258,-71.09603,Private room,195,8,3,229
27498,Furnished suite 2  the Windsor,74249,Marc And Patty,The Port,42.36254,-71.09698,Private room,265,18,3,251
29765,Luxury suite Moroccan furnishings,128280,Elizabeth,East Cambridge,42.37754,-71.06642,Entire homeapt,226,99,1,28
34452,walk to Harvard Square Cambridge,48805,Harris,Agassiz,42.38651,-71.11023,Private room,95,142,2,256
45987,Garden Studio,205107,Atef,East Cambridge,42.37424,-71.06081,Entire homeapt,160,135,1,56
46534,Victorian Elegance on Union Squares Prospect Hill,208115,Bill,WellingtonHarrington,42.38296,-71.09332,Private room,78,954,1,176
65400,Peaceful comfy sanctuary in Bungalow near Tufts,319650,Lisa,North Cambridge,42.41403,-71.11637,Private room,139,39,1,359
67774,Corner 1 bed facing Golden Dome,26988,Anne,East Cambridge,42.35689,-71.06206,Entire homeapt,105,47,5,132
71017,Acadia Rm near Tufts and Davis Sq,361955,Nanan,North Cambridge,42.39869,-71.1034,Private room,76,51,4,264
106474,large furnished suite in Central sq,74249,Marc And Patty,The Port,42.36274,-71.09768,Private room,295,20,3,272
108898,The Treehouse    Elegant living near Harvard,306681,Janet,West Cambridge,42.38227,-71.13643,Entire homeapt,200,34,2,258
151158,Lovely Sky View BostonCambridge,727944,Emily,Agassiz,42.38226,-71.0995,Entire homeapt,195,205,2,133
154505,SHRINE OF THE RED DIAMOND Trinitas  DP,742815,Jon,East Cambridge,42.38487,-71.08643,Shared room,10,134,7,153
184893,Beautiful 1 bedroom apt cld sleep 4,887148,Dawn,East Cambridge,42.37823,-71.06778,Private room,257,0,4,89
199317,EXCELLENT 1 BED  DEN HARVARD Square,87398,Ari,Neighborhood Nine,42.37975,-71.12262,Entire homeapt,236,14,2,365
219956,SHRINE OF THE RED DIAMOND,742815,Jon,East Cambridge,42.38589,-71.08586,Shared room,10,95,7,153
220676,Private room off the Freedom Trail,1144302,Howard,East Cambridge,42.36614,-71.05226,Private room,172,283,1,11
222081,SHRINE OF THE RED DIAMOND ,742815,Jon,East Cambridge,42.38481,-71.08436,Shared room,10,101,7,153
235397,Spacious Condo Steps from Davis Sq,844107,Sasha,North Cambridge,42.39438,-71.11239,Entire homeapt,175,69,1,43
281264,Harvards Historic Dollhousepvt deck in Union Sq,1466207,Elizabeth,Agassiz,42.38195,-71.09913,Private room,157,526,1,147
370390,Your Room  10 Min T Ride To Boston Center,1866924,David,East Cambridge,42.38333,-71.08296,Private room,46,142,2,234
394462,Your Pad  10 Min T Ride To Boston Center,1866924,David,East Cambridge,42.38319,-71.08297,Private room,46,78,2,276
405144,Apartment in Harvards Backyard,2018955,Nicole,Riverside,42.3691,-71.11237,Entire homeapt,165,54,1,199
445407,East Cambridge Apartment,2212429,Jimmy,WellingtonHarrington,42.37147,-71.08939,Entire homeapt,300,64,2,1
456429,Elegant Airy Comfort Workspace Private Entrance,2244099,Rebecca  Richard,North Cambridge,42.39475,-71.12548,Entire homeapt,521,282,1,28
478652,Fenway Rm  Intl House near Tufts,361955,Nanan,North Cambridge,42.39807,-71.10281,Private room,66,14,4,247
478750,Newport Rm  Intl House near Tufts,361955,Nanan,North Cambridge,42.3978,-71.10269,Private room,81,31,4,264
479364,Berkshire RmIntl House near Tufts,361955,Nanan,North Cambridge,42.39898,-71.10338,Private room,86,48,4,272
577384,Large Room with Shared Bath,229956,Adam,The Port,42.36613,-71.09883,Private room,39,147,4,0
611081,Houseboat in Boston Harbor,3029783,Deborah,East Cambridge,42.37579,-71.04981,Entire homeapt,308,68,5,333
619142,Getaway in Historic Charlestown,501427,Joe,East Cambridge,42.377338,-71.063095,Entire homeapt,175,169,1,239
675441,Waterfront1 Bed Room Luxury Condo,3423245,Elaine,East Cambridge,42.37103,-71.07557,Private room,188,14,1,365
708802,Boston  Charlestown Apartment,3648427,Gerard  And Marie,East Cambridge,42.37926,-71.06364,Entire homeapt,200,396,1,248
715532,Quiet Artistically Decorated Cambridge Apartment,3673828,Kate,North Cambridge,42.39346,-71.13137,Entire homeapt,266,322,1,144
742574,See Yourself in Central Square,1152305,Greg,The Port,42.36545,-71.10268,Entire homeapt,160,128,4,95
766700,N4 Little Italy Historic Freedom TrailTD Garden,3637081,Sarah,East Cambridge,42.3657,-71.05618,Entire homeapt,205,620,13,185
789843,One Bedroom Condo with Private Roof Deck,4161865,Ally,Area 2MIT,42.35244,-71.0852,Entire homeapt,224,26,1,67
815639,N1 Lil Italy Historic Freedom Trail TD Garden,3637081,Sarah,East Cambridge,42.36695,-71.05601,Entire homeapt,211,729,13,177
860634,Home on quiet street near Harvard,4507945,Deborah,Agassiz,42.38373,-71.11424,Private room,70,476,1,83
863788,Walk everywhere South End wRoof deck 2BR 2bath,775932,Andy  Daljit,Area 2MIT,42.344162,-71.070381,Entire homeapt,534,15,1,1
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,East Cambridge,42.3665,-71.05296,Entire homeapt,145,549,1,43
910408,School Term Housing in Mid Cambridge MA,4883794,Melissa,MidCambridge,42.37136,-71.10781,Entire homeapt,100,7,1,27
916123,N3 Little Italy Historic Freedom Trail TD Garden,3637081,Sarah,East Cambridge,42.36541,-71.05404,Entire homeapt,205,718,13,177
930906,Room 10 at Coolidge Corner Brookli,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,90,19,13,207
931151,room 1at Coolidge corner Brookline,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,125,36,13,327
931260,Grad pad 12 at Coolidge Corner,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,90,10,13,265
931295,room 3at Coolidge corner Brookline,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,125,21,13,278
931311,rm 11 at Coolidge corner Brookline,5014042,Yue Jin,Cambridgeport,42.33949,-71.12628,Private room,90,14,13,88
931314,Grad pad 9 at Coolidge Corner,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,90,22,13,233
977860,Bedroom near Longwood Hospitals wprivate balcony,5350366,Scott,Cambridgeport,42.33485,-71.11525,Private room,50,27,2,265
978507,room 6 at Coolidge Corner Brooklin,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,85,20,13,274
984992,Home Away from Home BED and BATH,342545,Anjana And Karthik,WellingtonHarrington,42.38915,-71.09166,Private room,51,38,5,222
989163,The Dalton  The Upton South End,5430185,Laura And Olivia,Area 2MIT,42.34308,-71.07316,Entire homeapt,220,67,7,39
1054635,Sunny lg 1br heart of Cambridge,3087212,Eleanor,MidCambridge,42.37285,-71.11263,Entire homeapt,130,11,1,175
1066808,Best House CambridgeSomerville,5869562,Susan,Agassiz,42.3807,-71.10906,Entire homeapt,451,219,1,306
1074146,Home Away from Home in Davis Square,2190792,Frank,North Cambridge,42.39906,-71.12685,Entire homeapt,200,70,1,0
1097262,HarvardMITBUCentral Square Room,6030020,Jason,Cambridgeport,42.35734,-71.10973,Private room,130,47,5,336
1106258,Furnished Private cozyroomwalk toTbus2MIt Harvrd,342545,Anjana And Karthik,WellingtonHarrington,42.39112,-71.09074,Private room,50,75,5,21
1130279,Back to AirBnB 3BR North End Perfect Location,2494599,Trisha,East Cambridge,42.36489,-71.05198,Entire homeapt,571,97,1,269
1140201,Great Room Near HarvardMITBU bikes available,6030020,Jason,Cambridgeport,42.35966,-71.10854,Private room,130,73,5,329
1141088,MITHarvardInman 2 Bedroom Apt,2530211,Erin,WellingtonHarrington,42.37324,-71.09635,Entire homeapt,179,491,1,192
1152054,Furnished Room walk to orangeT bus 2 harvard  MIT,342545,Anjana And Karthik,WellingtonHarrington,42.38901,-71.09069,Private room,48,68,5,273
1154298,Quiet private room in N Cambridge,6325607,John,North Cambridge,42.39892,-71.13527,Private room,65,435,1,304
1167804,SHRINE OF THE RED DIAMOND ,742815,Jon,East Cambridge,42.38423,-71.08608,Shared room,10,38,7,153
1167970,SHRINE OF THE RED DIAMOND ,742815,Jon,East Cambridge,42.38611,-71.08585,Shared room,10,34,7,153
1168079,SHRINE OF THE RED DIAMOND ,742815,Jon,East Cambridge,42.38581,-71.08421,Shared room,10,32,7,153
1193862,Middle Room in Shared Apt,229956,Adam,The Port,42.36669,-71.10025,Private room,35,139,4,0
1193875,Large Downstairs Room,229956,Adam,The Port,42.36608,-71.10054,Private room,39,172,4,0
1203031,Corner Room in Shared Apt,229956,Adam,The Port,42.3656,-71.10097,Private room,32,89,4,78
1209487,SomervilleCambridge private room,9563463,Sara,WellingtonHarrington,42.37724,-71.09783,Private room,125,272,3,321
1209491,CambridgeSomerville private room,9563463,Sara,WellingtonHarrington,42.37541,-71.09779,Private room,125,268,3,294
1215512,Minutes to Harvard Square,2066283,Roger,Strawberry Hill,42.37656,-71.15029,Entire homeapt,174,17,1,339
1216161,Spacious townhouse in Cambridge MA,6636728,Nomeda,MidCambridge,42.3757,-71.1086,Entire homeapt,135,3,1,99
1225831,Victorian Charm MITHarvardKendallCentral1BR,3380576,Paul,The Port,42.36665,-71.09823,Entire homeapt,134,516,1,230
1275498,The Washington  The Upton South End,5430185,Laura And Olivia,Area 2MIT,42.34294,-71.07304,Entire homeapt,238,73,7,32
1279548,Cambridge  Somerville get away,6962693,Holly,Agassiz,42.38684,-71.11494,Entire homeapt,125,62,1,262
1303261,Historic Beacon Hill,2120816,Larry,Area 2MIT,42.35714,-71.06968,Entire homeapt,425,23,1,358
1341022,Long term only Modern Entire Condo MITMGH 3600,6619766,C,The Port,42.36721,-71.0949,Entire homeapt,134,44,1,276
1360739,Stylish Brookline 2Bed Condo by Fenway  Longwood,6102813,Mark,Area 2MIT,42.33607,-71.11258,Entire homeapt,375,126,3,327
1365649,Victorian Arlington Apt Near Cambridge  Transit,7412616,Jennifer,North Cambridge,42.40451,-71.13559,Entire homeapt,157,122,1,116
1382718,SHRINE OF THE RED DIAMOND ,742815,Jon,East Cambridge,42.38617,-71.08556,Shared room,10,36,7,153
1404377,Renovated Brownstone  MITKendall Square,7579202,Jenny,East Cambridge,42.36892,-71.08496,Private room,140,336,2,0
1406416,City living at its finest,7579202,Jenny,East Cambridge,42.37121,-71.08116,Private room,140,228,2,0
1410594,Lovely 2BR Union Sq DavisPorterHarvardInman,3714464,Eric,WellingtonHarrington,42.37820148,-71.08920048,Entire homeapt,245,2,1,0
1425973,Historic brick Victorian row house,1015632,Viktoria,Area 2MIT,42.34164,-71.07964,Private room,349,31,1,74
1445064,Bright Sunlit bedroom near SpauldingDowntown,4724006,Rosalia,East Cambridge,42.38017,-71.06236,Private room,52,110,1,84
1450370,Lovely Loft Room in Cambridge Close to Subway,6839881,Lisan,Neighborhood Nine,42.38792,-71.12732,Private room,72,4,6,22
1459400,One bedroom in a cool Apt close to Harvard Square,7822039,Adriana,Strawberry Hill,42.37319,-71.15182,Private room,83,68,1,310
1482556,Room 5,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,95,14,13,233
1482602,Room14  At Coolidge Corner,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,100,15,13,232
1482606,Room 8 at Coolidge Corner Brooklin,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,98,10,13,0
1482608,Room 4 at  Coolidge Corner,5014042,Yue Jin,Cambridgeport,42.34044,-71.12589,Private room,125,14,13,289
1541166,Beautiful Studio 15 min to Downtown,552418,Vanya,East Cambridge,42.38324,-71.07852,Entire homeapt,109,45,1,43
1544144,Charming Historic Home in Charlestown,7353037,Nancy And Tom,East Cambridge,42.37243,-71.06349,Entire homeapt,350,42,1,96
1551205,2 bed2 bath in the heart of Boston,8261931,Hamed,Area 2MIT,42.34175,-71.08359,Entire homeapt,415,43,1,364
1574583,Near Harvard MIT 1F 1Br Suite Apt,7918311,Dina,Agassiz,42.38252,-71.09965,Entire homeapt,195,133,7,143
1596470,4story Central Luxurytwo blocks to Boston Common,480310,Michael,Area 2MIT,42.34988,-71.06918,Entire homeapt,550,148,1,38
1632003,2 Cozy Rooms Near Harvard Square,8530114,Colleen,MidCambridge,42.37303,-71.10539,Private room,225,62,1,32
1711476,Serene  cozy 1BR oasis walk to  Harvard Square,3402394,Case,MidCambridge,42.37301,-71.1041,Entire homeapt,110,66,2,228
1712936,Tufts Harvard Davis Square airy bright suite,9034440,Denis,North Cambridge,42.40168,-71.12098,Private room,72,141,1,152
1755927,Nr Harvard MIT Ctr AC WD in unit 3Fl Bright 2BApt,7918311,Dina,Agassiz,42.38229,-71.10079,Entire homeapt,249,60,7,160
1810397,3Bed25Bath Luxury Triplex South Ends Union Park,9485021,Stacy,Area 2MIT,42.34279,-71.0711,Entire homeapt,1067,49,1,103
1815326,Back Bay Elegance in Brighton,9508341,Phyllis,Strawberry Hill,42.3569,-71.1624,Private room,99,303,1,83
1819994,RIVERVIEWSWalk Everywhere Central Safe LOCATION,9529655,Suzanne,Area 2MIT,42.34981,-71.09476,Entire homeapt,275,2,4,362
1840256,Spacious Cambridge 1BR near Kendall Square  MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire homeapt,329,20,19,3
1854010,Spacious bright modern private,9678965,Don,Strawberry Hill,42.37205,-71.16974,Entire homeapt,182,286,1,142
1855969,Lux 2 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire homeapt,469,32,19,365
1893287,Bright Convenient Apt Harvard  MIT,9553483,Jookun,The Port,42.36571,-71.1023,Entire homeapt,145,193,1,197
1913142,Sunny beautiful cozy and spacious Cambridge apt,6163908,Thorsten,North Cambridge,42.39941,-71.13521,Entire homeapt,335,3,1,345
1934073,CDC Cleaning BULongwoodParking 1bdrmsofa bed,546854,Sanjay,Cambridgeport,42.34962,-71.11661,Entire homeapt,185,118,3,31
1935343,Cute clean  its all yours1 bed great location,10014448,Lucia,Cambridgeport,42.35715,-71.11026,Entire homeapt,145,263,1,253
1984737,Charming Harvard Victorian,8824696,Steve,West Cambridge,42.38248,-71.13545,Entire homeapt,468,351,2,290
2030680,Cozy Room in a Charming Townhouse,10427720,Gosia,Strawberry Hill,42.37837,-71.15249,Private room,125,28,2,302
2038283,Stay Across from Harvards Campus,4521987,Kris,MidCambridge,42.37247,-71.11381,Entire homeapt,140,177,1,3
2075647,EcoBohemian Boston Hideaway in East Somerville,9623536,Mary,WellingtonHarrington,42.38888,-71.09235,Private room,98,234,2,48
2092181,Haven in Cambridge entire place,10641173,Randi,WellingtonHarrington,42.37312,-71.0901,Entire homeapt,125,50,1,0
2126053,Studio w kitchenette in owners Beacon Hill home,10844648,Janet,Area 2MIT,42.35771,-71.06978,Entire homeapt,165,113,1,89
2147504,Lovely bedroom in great home,10961675,Laurie,Strawberry Hill,42.3737,-71.17399,Private room,85,213,2,167
2176599,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire homeapt,329,6,19,3
2183058,Historic Boston North End Condo,11132080,Cindy  Mark,East Cambridge,42.36446,-71.05429,Entire homeapt,195,169,1,174
2183117,I bdrm in BostonAllstonBrookline,11132354,Alla,Cambridgeport,42.34995,-71.13427,Entire homeapt,110,49,1,90
2206750,Sunny private  peaceful,5508811,Heather,Strawberry Hill,42.3724,-71.17448,Entire homeapt,170,76,1,264
2215762,The Clare  The Upton South End,5430185,Laura And Olivia,Area 2MIT,42.34303,-71.07305,Entire homeapt,238,52,7,69
2223447,HarvardSq BrightQuiet 1 BdrApt MONTHLYLONG TERM,7421025,Doriana,MidCambridge,42.37125,-71.11183,Entire homeapt,95,34,2,114
2244415,WORK FROM HOME FLAT Perfect HARVARD SQUARE,3668535,Jonas,MidCambridge,42.37248,-71.11488,Entire homeapt,369,99,3,288
2292495,furnished 1 bed apartment copley 5,9653086,Glenn,Area 2MIT,42.34125,-71.07604,Entire homeapt,140,76,6,303
2319690,Sunny Private Room near Coolidge Corner,9193934,Joyce,Cambridgeport,42.34274,-71.1272,Private room,89,483,2,182
2332898,Roombath in Coolidge Corner,9193934,Joyce,Cambridgeport,42.3424,-71.12574,Private room,99,468,2,298
2358105,Charming Apt w Ctr AC TV Wifi nr Tufts Harvard MIT,7918311,Dina,North Cambridge,42.3983414,-71.1038696,Entire homeapt,249,100,7,119
2410846,Sunny Beacon Hill corner unit top floor,3137257,Local Furnished,East Cambridge,42.35702,-71.06168,Entire homeapt,130,36,1,118
2451591,Large Master Bedroom  Full Private Bath,12535522,Mona,Cambridgeport,42.36093,-71.10642,Private room,129,21,1,302
2467252,West Cambridge  1 or 2 BR in House near Harvard,12617598,Caroline,Neighborhood Nine,42.38137,-71.12917,Private room,125,235,1,42
2480744,Sunny room in beautiful home,10961675,Laurie,Strawberry Hill,42.37233,-71.17394,Private room,85,74,2,324
2495047,The Tremont  The Upton South End,5430185,Laura And Olivia,Area 2MIT,42.34309,-71.07316,Entire homeapt,224,55,7,26
2538983,Spacious 2 bedrooms AptRoof deck NO Cleaning fee,13000172,Dan,Cambridgeport,42.35704,-71.10909,Entire homeapt,290,482,1,213
2658094,Beautiful Boston North End spacious Light 2Bd 1BA2D,5578043,Dror,East Cambridge,42.36597,-71.05271,Entire homeapt,169,145,4,320
2676037,Comfort Apt w Smart TV Wifi nr Tufts Harvard MIT,7918311,Dina,North Cambridge,42.39622,-71.10384,Entire homeapt,265,70,7,101
2692752,Country home in the city center,6501896,Shelley,Cambridgeport,42.36276,-71.10195,Private room,95,65,1,0
2701124,Charlesview Suites Back Bay,13822322,Varouj,Area 2MIT,42.34492,-71.08482,Entire homeapt,280,79,1,365
2754975,Perfect Location to Explore Boston,6885890,Jonathan,East Cambridge,42.35902,-71.06296,Entire homeapt,150,100,1,21
2864688,Beautiful 3 bedroom 2 bath apt in Charlestown,887148,Dawn,East Cambridge,42.38148,-71.06967,Private room,595,0,4,365
2875646,Cozy and bright 1 bed near MITKendall SqHarvrd,14649698,Blair,WellingtonHarrington,42.37138,-71.08913,Entire homeapt,93,113,1,0
2879039,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire homeapt,329,14,19,3
2914111,Friendly Pleasant Place,14883738,Minga  Jonathan,Cambridgeport,42.36397,-71.10712,Private room,108,249,1,0
2926854,Comfortable Private Room SU24,6094,Matt,WellingtonHarrington,42.39387,-71.09093,Private room,71,11,4,273
2975163,4 bedroom family home Union Sq,3406230,Julie,Agassiz,42.38406,-71.09656,Entire homeapt,300,19,1,295
2998559,Cozy Room with kitchenette by Harvard  MIT,11441054,Katy,Strawberry Hill,42.37411,-71.16755,Private room,55,13,4,325
3021937,Large Room in Spacious Apartment Bikes available,6030020,Jason,Cambridgeport,42.35854148,-71.10955411,Private room,130,12,5,335
3104112,Cozy bright  private room just mins from Boston,15781289,Jahaida,WellingtonHarrington,42.38466,-71.09588,Private room,114,27,1,60
3129309,N5 TDGarden Location Freedom Trail Lil Italy,3637081,Sarah,East Cambridge,42.36693,-71.05624,Entire homeapt,125,406,13,61
3234995,Lovely large 3 room apartment,10470174,Maria,West Cambridge,42.37896,-71.12489,Entire homeapt,329,58,1,156
3247833,Lovely East Cambridge Apartment,2212429,Jimmy,WellingtonHarrington,42.37032,-71.09317,Entire homeapt,219,475,2,227
3257358,Room 2 at Coolidge Corner,5014042,Yue Jin,Cambridgeport,42.3404,-71.12595,Private room,125,18,13,144
3316049,Beautiful Junior 1bedroom apartment,16742781,Jerry,Area 2MIT,42.34512207,-71.06492252,Entire homeapt,210,0,1,364
3334098,WELLAPPOINTED BRIGHT AND SPACIOUS,5331227,We Are Kai  Nina,East Cambridge,42.36862,-71.08573,Entire homeapt,319,73,1,237
3352446,West Cambridge 3BR Pet OK AC backyard lovely,3842820,Chris,Strawberry Hill,42.377277,-71.149094,Entire homeapt,499,4,2,12
3474824,Quiet Studio near MIT Harvard  BU,5074009,JeffLiz,Cambridgeport,42.35879,-71.10877,Entire homeapt,168,266,2,26
3475883,Queen Bed Liz at Waterbridge,1152305,Greg,Strawberry Hill,42.37387,-71.15083,Private room,75,64,4,281
3504918,Private Room in Shared Apt SU12,6094,Matt,WellingtonHarrington,42.39389,-71.08931,Private room,69,7,4,325
3506058,HarvardMIT,9270106,Nanette,The Port,42.36965,-71.09932,Private room,156,686,2,321
3510127,HarvardMITSinglePrivate 12 Bath,9270106,Nanette,The Port,42.36904,-71.09937,Private room,140,717,2,321
3519954,Queen Bed Victoria at Waterbridge,1152305,Greg,Strawberry Hill,42.37389,-71.1513,Private room,75,63,4,291
3520353,Luxury Beacon Hill Apartment 1BR,6508758,Xerxes,East Cambridge,42.35884,-71.06332,Entire homeapt,288,253,1,205
3538589,Two bedroom third floor apartment,10337757,Bruce  Fariba,Agassiz,42.38332,-71.11479,Entire homeapt,150,132,1,32
3590031,FamilyFriendly 3 BDR on the Hill,3146675,Greer,WellingtonHarrington,42.38275,-71.09216,Entire homeapt,375,26,1,0
3649162,Walk to MIT or Harvard  Perfect for a family,18446559,Meredith,Cambridgeport,42.36343,-71.10305,Entire homeapt,180,11,1,0
3664031,2 bedroom condo in Downtown Boston,2006852,Jay,East Cambridge,42.3636,-71.05367,Entire homeapt,221,53,7,1
3678159,Private room in charming Cambridge apartment,4026958,Robert,Riverside,42.36702714,-71.11235366,Private room,109,113,1,5
3684345,Lux 2 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire homeapt,469,12,19,365
3740822,Lux 2BR Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire homeapt,469,15,19,365
3749523,Grand Colonial in Historic Boston,3842205,Nicolo,East Cambridge,42.37358324,-71.06308645,Entire homeapt,250,280,1,277
3774900,City Oasis Deck  Yard Walk To Harvard MIT Train,6823717,Juan Carlos,Cambridgeport,42.36024,-71.11398,Entire homeapt,181,309,2,41
3861471,Luxury 3BR Condo near HarvardMIT with Parking,11274561,Philip,The Port,42.36583,-71.09803,Entire homeapt,374,83,2,179
3890373,Beacon Hill Fabulous One Bedroom Apartment,19357187,Paul,East Cambridge,42.35792,-71.06432,Entire homeapt,150,248,1,199
3894437,Lovely Studio in Cambridge  Great Location,6839881,Lisan,Neighborhood Nine,42.38862,-71.12554,Entire homeapt,122,4,6,145
3966829,Sunny Base close to MIT,20414167,Sandra,The Port,42.36636,-71.09965,Entire homeapt,160,34,1,90
4031375,A room in spacious 3 bdroom apt,19140459,Gustavo,North Cambridge,42.39605,-71.134,Private room,114,6,1,276
4054229,Ada Lovelace room small eaved rm in old Victorian,2063272,Sam Jesse And Kaia,Agassiz,42.38686,-71.11057,Private room,60,27,5,295
4068377,Bed  Bar wPeloton  Street Parking,405341,Bryan  Marisa,North Cambridge,42.39437,-71.12601,Private room,162,258,1,0
4081272,Perfectly Located Davis Sq 2 Bed,15128917,Elizabeth,North Cambridge,42.39791,-71.1233,Entire homeapt,200,207,2,123
4099590,Gorgeous Lightfilled 1 BR in Trendy Neighborhood,18118517,Sheila,North Cambridge,42.39761,-71.11403,Entire homeapt,110,1,1,308
4109594,Overnight couch space,21321632,Marion,North Cambridge,42.39827,-71.14215,Shared room,50,217,1,309
4112094,Cambridge Studio Apartment,404360,Victor,West Cambridge,42.37843,-71.14272,Entire homeapt,135,308,2,262
4116478,Great House in Central Square,4578066,Lindsey,Cambridgeport,42.36308,-71.10234,Entire homeapt,350,216,1,274
4184365,Comfortable  convenient home,48805,Harris,Agassiz,42.38758,-71.11245,Private room,95,56,2,259
4191413,Quiet convenient and cozy,21745933,Frank,Strawberry Hill,42.37782,-71.16104,Entire homeapt,160,102,1,214
4209359,1B STUDIO Private entrance WALK HARVARDMIT,81038,Louisa,MidCambridge,42.3677,-71.10584,Entire homeapt,148,187,8,326
4216908,Quiet home near Porter Harvard On Red Line,21885217,Catherine,North Cambridge,42.38983,-71.11918,Entire homeapt,325,22,1,0
4235636,Cozy Room in a Charming Townhouse,10427720,Gosia,Strawberry Hill,42.37664,-71.15157,Private room,125,9,2,308
4270619,Sunny 3 Bdr corner luxury apartment,21631889,Ling Yi,The Port,42.36935,-71.09845,Entire homeapt,264,55,14,270
4276641,Room 7 at Coolidge Corner Brooklin,5014042,Yue Jin,Cambridgeport,42.34038,-71.12595,Private room,105,25,13,262
4278067,Studio apart Tremont St South End 2,9653086,Glenn,Area 2MIT,42.34128,-71.07607,Entire homeapt,120,72,6,277
4279231,Somerville Private room,9563463,Sara,WellingtonHarrington,42.37574,-71.09909,Private room,120,222,3,316
4303606,In the heart of Boston ,21851356,Gustavo,Area 2MIT,42.35011,-71.06719,Private room,195,125,1,309
4311729,Lovely sunny 2 BD home great area  Free Parking,22381726,Wendy,Cambridgeport,42.34777,-71.12354,Entire homeapt,389,91,1,299
4338244,Lux Kendall Square 1 Bedroom wgym WiFi,9419684,Churchill,East Cambridge,42.363617,-71.08202,Entire homeapt,399,2,19,281
4354741,Near Tufts 10 min to Boston,22605486,Laurel,North Cambridge,42.4211,-71.13941,Entire homeapt,200,25,1,0
4364925,large  grand 2 bedroom South End by Copley Sq 3,9653086,Glenn,Area 2MIT,42.34128,-71.07607,Entire homeapt,180,143,6,301
4364989,newly furn one bedroom by Copley 6,9653086,Glenn,Area 2MIT,42.34128,-71.07607,Entire homeapt,135,81,6,327
4410765,Grt Location Big 3 BedNr all Colleges Hospitals,9795590,Patrick,West Cambridge,42.35309,-71.14822,Entire homeapt,135,10,2,297
4422473,Two quiet rooms in a lovely house,2063272,Sam Jesse And Kaia,Agassiz,42.38497,-71.11113,Private room,140,2,5,274
4437529,Lux 2BR Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire homeapt,469,9,19,365
4437789,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire homeapt,329,4,19,3
4448828,Spacious 4 bedroom house at the perfect location,23087930,Shai,Cambridgeport,42.34698,-71.13149,Entire homeapt,450,33,1,0
4455298,Family Friendly 3 Bedroom,21631889,Ling Yi,The Port,42.36896,-71.09846,Entire homeapt,302,106,14,169
4461613,Comfy Beacon Hill Studio Great for Work Travel 13,22348222,Maverick,East Cambridge,42.36017,-71.06346,Entire homeapt,226,136,82,341
4461846,South End Studio Perfect for Work Travel 36,22348222,Maverick,Area 2MIT,42.34441,-71.07633,Entire homeapt,188,92,82,350
4461901,Stylish Downtown Studio in the SouthEnd 8,22348222,Maverick,Area 2MIT,42.34447,-71.07644,Entire homeapt,216,138,82,338
4484068,Einstein room cozy Queen bed  desk,2063272,Sam Jesse And Kaia,Agassiz,42.38645,-71.11302,Private room,74,24,5,280
4489577,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,East Cambridge,42.363747,-71.083374,Entire homeapt,329,2,19,3
4500409,Stylish Studio in Back Bay on Newbury St 1,22348222,Maverick,Area 2MIT,42.34982,-71.08264,Entire homeapt,222,147,82,338
