id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
23730467,1 Br with Parking Perfect Location HarvardMIT,177906351,Siyu,The Port,42.36738,-71.10082,Entire homeapt,227,123,1,90
23761920,The Barn,68375262,Elysabeth  Mike,North Cambridge,42.41179,-71.15023,Entire homeapt,195,46,1,26
23761996,2Bed2Bath Modern Bldg  Across MGH WD In Suite,20079643,Alex  Bcohousing,East Cambridge,42.36456,-71.06923,Entire homeapt,330,12,11,325
23769190,Modern 2bd Central Square MITHarvard Red Line T,112868041,Jamie,Cambridgeport,42.36102,-71.10582,Entire homeapt,299,96,4,83
23841523,Lrge 1 BR Apt  Water View  Fast WiFi  Best Loc,20079643,Alex  Bcohousing,East Cambridge,42.36563,-71.06834,Entire homeapt,229,9,11,323
23872975,Luxe Historic Elegance Overlooking Thompson Square,149379579,Kristen,East Cambridge,42.37648,-71.06444,Entire homeapt,354,62,1,34
23902787,Fresh Pond Paradise,39476963,Irina,West Cambridge,42.37781,-71.14639,Entire homeapt,150,6,1,77
23912131,Quite 1 Bd Apt near Massachusetts General Hospital,20079643,Alex  Bcohousing,East Cambridge,42.36393,-71.069,Entire homeapt,217,15,11,307
24011176,NewlyRenovated Stunning Cambridge 1BR,166253811,Patrick,WellingtonHarrington,42.37252,-71.09046,Entire homeapt,215,132,2,50
24035495,Beautiful 2 bedroom condo in Bostons South End,7701185,Matthew,Area 2MIT,42.33954,-71.07838,Entire homeapt,135,61,1,244
24061454,Fully Furnished 2 Bedroom in Boston near Berklee,5322468,Andre,Area 2MIT,42.34492,-71.08872,Entire homeapt,110,0,1,104
24102034,Private Floor w Private EntryBath Near Harvard,181513542,Dan,Strawberry Hill,42.37881,-71.17267,Entire homeapt,95,51,1,317
24168312,Back Bay Apt on Marlborough St Hereford St block,180283497,Michelle,Area 2MIT,42.35136,-71.08851,Entire homeapt,135,16,8,266
24184848,Studio in SomervilleUnion Sq HarvardMITTufts,31766933,MÃÂÃÂ³nica,WellingtonHarrington,42.37811,-71.10054,Entire homeapt,118,78,1,311
24186613,Clean cozy cute private room near Davis Square,8187170,Bob,North Cambridge,42.39674,-71.11286,Private room,122,168,2,39
24277032,North End 1 Bedroom CLOSE MGH Subway Hanover St,180283497,Michelle,East Cambridge,42.36547,-71.05492,Entire homeapt,160,3,8,339
24298372,Comfortable Room 1  Near BUNEUMITHarvardMGH,171618898,Mark,Cambridgeport,42.35962,-71.11151,Private room,138,149,4,328
24304200,2 Beautiful N Cambridge Private Room Two Twin B,88140341,Ana,North Cambridge,42.39311,-71.12854,Private room,110,248,2,150
24325336,Beacon Hill Studio  2 min Walk to MGHSubway,180283497,Michelle,East Cambridge,42.36026,-71.07003,Entire homeapt,135,9,8,323
24337722,Private Room BU LongwoodHarvard Medical Fenway,83755201,Mar,Cambridgeport,42.34727,-71.11837,Private room,136,38,3,72
24348595,UNION SQ historic character with modern amenities,81713374,Robin,WellingtonHarrington,42.38064,-71.09593,Entire homeapt,150,7,1,224
24378766,Downtown Theater District  Boston Common Park,799496,Kj,Area 2MIT,42.35202,-71.06486,Entire homeapt,239,122,3,356
24442402,BnB Sunny private bedroombath near Harvard,181267574,Candace,West Cambridge,42.38208,-71.13386,Private room,145,132,1,116
24484501,Top of the World,114515516,William,East Cambridge,42.38113,-71.08021,Entire homeapt,900,159,1,265
24563107,Sunny 2Bed Apt River View By Mass General Hospital,20079643,Alex  Bcohousing,East Cambridge,42.3649,-71.06838,Entire homeapt,343,13,11,329
